,PlayerID,Position,Name,Rounds,Score,Today,Thru,Time,backNine,Total,PositionNum,Points,Rank,Projected_Winnings
0,48081,1,Xander Schauffele,"69,72,69,65",-9,-6,F,,False,275,1,157,1,3240000
1,22405,T2,Justin Rose,"69,68,73,67",-7,-4,F,,False,277,2,156,2,1584000
2,29420,T2,Billy Horschel,"72,68,69,68",-7,-3,F,,False,277,2,156,2,1584000
3,45523,4,Thriston Lawrence,"71,74,65,68",-6,-3,F,,False,278,4,154,3,744000
4,34098,5,Russell Henley,"69,75,66,69",-5,-2,F,,False,279,5,153,4,580500
5,33204,6,Shane Lowry,"66,69,77,68",-4,-3,F,,False,280,6,152,5,522000
6,46970,T7,Jon Rahm,"73,70,72,68",-1,-3,F,,False,283,7,151,6,432000
7,39971,T7,Sungjae Im,"76,72,66,69",-1,-2,F,,False,283,7,151,6,432000
8,46046,T7,Scottie Scheffler,"70,70,71,72",-1,+1,F,,False,283,7,151,6,432000
9,55955,T10,Matthew Jordan,"71,71,71,71",E,E,F,,False,284,10,148,7,333000
10,24502,T10,Adam Scott,"70,77,66,71",E,E,F,,False,284,10,148,7,333000
11,57259,T10,Daniel Brown,"65,72,73,74",E,+3,F,,False,284,10,148,7,333000
12,28089,T13,Jason Day,"73,68,76,68",+1,-3,F,,False,285,13,145,8,261000
13,27349,T13,Alex Noren,"69,75,71,70",+1,-1,F,,False,285,13,145,8,261000
14,33948,T13,Byeong Hun An,"75,71,68,71",+1,E,F,,False,285,13,145,8,261000
15,35506,T16,Mackenzie Hughes,"69,74,75,68",+2,-3,F,,False,286,16,142,9,187200
16,50525,T16,Collin Morikawa,"73,70,72,71",+2,E,F,,False,286,16,142,9,187200
17,45734,T16,John Catlin,"76,70,69,71",+2,E,F,,False,286,16,142,9,187200
18,33974,T19,Dean Burmester,"71,69,76,71",+3,E,F,,False,287,19,139,10,147000
19,49813,T19,Daniel Hillier,"76,71,68,72",+3,+1,F,,False,287,19,139,10,147000
20,39113,T19,Shubhankar Sharma,"76,72,67,72",+3,+1,F,,False,287,19,139,10,147000
21,49960,T22,Sepp Straka,"70,74,73,71",+4,E,F,,False,288,22,136,11,125100
22,50223,T22,Ewen Ferguson,"74,73,70,71",+4,E,F,,False,288,22,136,11,125100
23,20766,T22,Padraig Harrington,"72,73,71,72",+4,+1,F,,False,288,22,136,11,125100
24,29936,T25,Ryan Fox,"73,73,76,67",+5,-4,F,,False,289,25,133,12,111600
25,39997,T25,Corey Conners,"71,70,80,68",+5,-3,F,,False,289,25,133,12,111600
26,34046,T25,Jordan Spieth,"71,74,74,70",+5,-1,F,,False,289,25,133,12,111600
27,37094,T25,Joseph Dean,"69,77,71,72",+5,+1,F,,False,289,25,133,12,111600
28,35450,T25,Patrick Cantlay,"73,68,75,73",+5,+2,F,,False,289,25,133,12,111600
29,34362,T25,Laurie Canter,"71,74,70,74",+5,+3,F,,False,289,25,133,12,111600
30,39834,T31,Guido Migliozzi,"73,75,71,71",+6,E,F,,False,290,31,127,13,97200
31,47591,T31,Eric Cole,"72,73,72,73",+6,+2,F,,False,290,31,127,13,97200
32,57366,T31,Cameron Young,"73,73,71,73",+6,+2,F,,False,290,31,127,13,97200
33,50323,T31,Minkyu Kim,"73,71,72,74",+6,+3,F,,False,290,31,127,13,97200
34,30927,T31,Brendon Todd,"73,73,70,74",+6,+3,F,,False,290,31,127,13,97200
35,33199,T31,Matteo Manassero,"73,73,70,74",+6,+3,F,,False,290,31,127,13,97200
36,30925,T31,Dustin Johnson,"74,69,72,75",+6,+4,F,,False,290,31,127,13,97200
37,30926,T31,Chris Kirk,"70,76,69,75",+6,+4,F,,False,290,31,127,13,97200
38,33448,T31,Justin Thomas,"68,78,67,77",+6,+6,F,,False,290,31,127,13,97200
39,47504,T31,Sam Burns,"76,69,65,80",+6,+9,F,,False,290,31,127,13,97200
40,48117,T41,Kurt Kitayama,"77,69,74,71",+7,E,F,,False,291,41,117,14,79200
41,48887,T41,Matt Wallace,"70,77,71,73",+7,+2,F,,False,291,41,117,14,79200
42,36689,T43,Brooks Koepka,"70,73,78,71",+8,E,F,,False,292,43,115,15,66600
43,33968,T43,Thorbjørn Olesen,"72,73,76,71",+8,E,F,,False,292,43,115,15,66600
44,32367,T43,Jorge Campillo,"80,68,73,71",+8,E,F,,False,292,43,115,15,66600
45,37455,T43,Si Woo Kim,"76,71,71,74",+8,+3,F,,False,292,43,115,15,66600
46,39977,T43,Max Homa,"76,72,70,74",+8,+3,F,,False,292,43,115,15,66600
